TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/received_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="987861714045355492" resource.labels."zone"="europe-west4-b" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240521-124408
instance_name,instance-20240521-124408
project_id,ddls-owen-gombas
Wed May 22 2024 15:42:00 GMT+0200 (Central European Summer Time),2068.4166666666665
Wed May 22 2024 15:43:00 GMT+0200 (Central European Summer Time),235034.63333333333
Wed May 22 2024 15:44:00 GMT+0200 (Central European Summer Time),2743725.3666666667
Wed May 22 2024 15:45:00 GMT+0200 (Central European Summer Time),8712016.233333332
Wed May 22 2024 15:46:00 GMT+0200 (Central European Summer Time),7959621.433333334
Wed May 22 2024 15:47:00 GMT+0200 (Central European Summer Time),7985479.966666667
Wed May 22 2024 15:48:00 GMT+0200 (Central European Summer Time),8375123.483333333
Wed May 22 2024 15:49:00 GMT+0200 (Central European Summer Time),7991199.4
Wed May 22 2024 15:50:00 GMT+0200 (Central European Summer Time),8193347.766666667
Wed May 22 2024 15:51:00 GMT+0200 (Central European Summer Time),8252844.666666667
Wed May 22 2024 15:52:00 GMT+0200 (Central European Summer Time),7885122.3
Wed May 22 2024 15:53:00 GMT+0200 (Central European Summer Time),7821851.75
Wed May 22 2024 15:54:00 GMT+0200 (Central European Summer Time),7124326.016666667
Wed May 22 2024 15:55:00 GMT+0200 (Central European Summer Time),7285000.3
Wed May 22 2024 15:56:00 GMT+0200 (Central European Summer Time),7808283.233333333
Wed May 22 2024 15:57:00 GMT+0200 (Central European Summer Time),7394755.05
Wed May 22 2024 15:58:00 GMT+0200 (Central European Summer Time),7795241.933333334
Wed May 22 2024 15:59:00 GMT+0200 (Central European Summer Time),7298786.5
Wed May 22 2024 16:00:00 GMT+0200 (Central European Summer Time),7975413.716666667
Wed May 22 2024 16:01:00 GMT+0200 (Central European Summer Time),7704502.766666667
Wed May 22 2024 16:02:00 GMT+0200 (Central European Summer Time),7432346.266666667
Wed May 22 2024 16:03:00 GMT+0200 (Central European Summer Time),7800569.433333334
Wed May 22 2024 16:04:00 GMT+0200 (Central European Summer Time),7325507.95
Wed May 22 2024 16:05:00 GMT+0200 (Central European Summer Time),7827250.283333333
Wed May 22 2024 16:06:00 GMT+0200 (Central European Summer Time),7177334.666666667
Wed May 22 2024 16:07:00 GMT+0200 (Central European Summer Time),7395250.5
Wed May 22 2024 16:08:00 GMT+0200 (Central European Summer Time),7800907.416666667
Wed May 22 2024 16:09:00 GMT+0200 (Central European Summer Time),7442096.966666667
Wed May 22 2024 16:10:00 GMT+0200 (Central European Summer Time),8917861.783333333
Wed May 22 2024 16:11:00 GMT+0200 (Central European Summer Time),9064490.066666666
Wed May 22 2024 16:12:00 GMT+0200 (Central European Summer Time),7364600.4
Wed May 22 2024 16:13:00 GMT+0200 (Central European Summer Time),7817108.016666667
Wed May 22 2024 16:14:00 GMT+0200 (Central European Summer Time),7087229.25
Wed May 22 2024 16:15:00 GMT+0200 (Central European Summer Time),7272624.15
Wed May 22 2024 16:16:00 GMT+0200 (Central European Summer Time),7906331.85
Wed May 22 2024 16:17:00 GMT+0200 (Central European Summer Time),8728453.933333334
Wed May 22 2024 16:18:00 GMT+0200 (Central European Summer Time),8752565.483333332
Wed May 22 2024 16:19:00 GMT+0200 (Central European Summer Time),7274510.95
Wed May 22 2024 16:20:00 GMT+0200 (Central European Summer Time),8599975.15
Wed May 22 2024 16:21:00 GMT+0200 (Central European Summer Time),7858946.233333333
Wed May 22 2024 16:22:00 GMT+0200 (Central European Summer Time),7240294.866666666
Wed May 22 2024 16:23:00 GMT+0200 (Central European Summer Time),7618210.95
Wed May 22 2024 16:24:00 GMT+0200 (Central European Summer Time),8932130.75
Wed May 22 2024 16:25:00 GMT+0200 (Central European Summer Time),7918517.45
Wed May 22 2024 16:26:00 GMT+0200 (Central European Summer Time),7969265.7
Wed May 22 2024 16:27:00 GMT+0200 (Central European Summer Time),8557379.85
Wed May 22 2024 16:28:00 GMT+0200 (Central European Summer Time),8359873.983333333
Wed May 22 2024 16:29:00 GMT+0200 (Central European Summer Time),9001980.3
Wed May 22 2024 16:30:00 GMT+0200 (Central European Summer Time),6756454.083333333
Wed May 22 2024 16:31:00 GMT+0200 (Central European Summer Time),7320029.283333333
Wed May 22 2024 16:32:00 GMT+0200 (Central European Summer Time),7810678.3
Wed May 22 2024 16:33:00 GMT+0200 (Central European Summer Time),7568782.833333333
Wed May 22 2024 16:34:00 GMT+0200 (Central European Summer Time),9201534.683333334
Wed May 22 2024 16:35:00 GMT+0200 (Central European Summer Time),8352720.5
Wed May 22 2024 16:36:00 GMT+0200 (Central European Summer Time),6729175.966666667
Wed May 22 2024 16:37:00 GMT+0200 (Central European Summer Time),7859588.6
Wed May 22 2024 16:38:00 GMT+0200 (Central European Summer Time),6527719.6
Wed May 22 2024 16:39:00 GMT+0200 (Central European Summer Time),88782.75
