TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/received_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="987861714045355492" resource.labels."zone"="europe-west4-b" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240521-124408
instance_name,instance-20240521-124408
project_id,ddls-owen-gombas
Wed May 22 2024 19:45:00 GMT+0200 (Central European Summer Time),1488961.1166666667
Wed May 22 2024 19:46:00 GMT+0200 (Central European Summer Time),4549095.133333334
Wed May 22 2024 19:47:00 GMT+0200 (Central European Summer Time),6755440.35
Wed May 22 2024 19:48:00 GMT+0200 (Central European Summer Time),6434712.433333334
Wed May 22 2024 19:49:00 GMT+0200 (Central European Summer Time),3596539.95
Wed May 22 2024 19:50:00 GMT+0200 (Central European Summer Time),871262.3666666667
Wed May 22 2024 19:51:00 GMT+0200 (Central European Summer Time),3840057.45
Wed May 22 2024 19:52:00 GMT+0200 (Central European Summer Time),6618079.45
Wed May 22 2024 19:53:00 GMT+0200 (Central European Summer Time),5735933.083333333
Wed May 22 2024 19:54:00 GMT+0200 (Central European Summer Time),6104010.85
Wed May 22 2024 19:55:00 GMT+0200 (Central European Summer Time),6452963.116666666
Wed May 22 2024 19:56:00 GMT+0200 (Central European Summer Time),3474198.7
Wed May 22 2024 19:57:00 GMT+0200 (Central European Summer Time),904794.85
Wed May 22 2024 19:58:00 GMT+0200 (Central European Summer Time),3729035.5166666666
Wed May 22 2024 19:59:00 GMT+0200 (Central European Summer Time),6393417.166666667
Wed May 22 2024 20:00:00 GMT+0200 (Central European Summer Time),3643944.8666666667
Wed May 22 2024 20:01:00 GMT+0200 (Central European Summer Time),400889.98333333334
Wed May 22 2024 20:02:00 GMT+0200 (Central European Summer Time),404389.01666666666
Wed May 22 2024 20:03:00 GMT+0200 (Central European Summer Time),3020322.066666667
Wed May 22 2024 20:04:00 GMT+0200 (Central European Summer Time),6952950.683333334
Wed May 22 2024 20:05:00 GMT+0200 (Central European Summer Time),7033454.4
Wed May 22 2024 20:06:00 GMT+0200 (Central European Summer Time),6695990.6
Wed May 22 2024 20:07:00 GMT+0200 (Central European Summer Time),6387641.983333333
Wed May 22 2024 20:08:00 GMT+0200 (Central European Summer Time),3628981.8833333333
Wed May 22 2024 20:09:00 GMT+0200 (Central European Summer Time),400877.5
Wed May 22 2024 20:10:00 GMT+0200 (Central European Summer Time),400756.7833333333
Wed May 22 2024 20:11:00 GMT+0200 (Central European Summer Time),400706.18333333335
Wed May 22 2024 20:12:00 GMT+0200 (Central European Summer Time),400883.3333333333
Wed May 22 2024 20:13:00 GMT+0200 (Central European Summer Time),400858.15
Wed May 22 2024 20:14:00 GMT+0200 (Central European Summer Time),1503753.4333333333
Wed May 22 2024 20:15:00 GMT+0200 (Central European Summer Time),4224722.666666667
Wed May 22 2024 20:16:00 GMT+0200 (Central European Summer Time),5228466.533333333
Wed May 22 2024 20:17:00 GMT+0200 (Central European Summer Time),4980754.883333334
Wed May 22 2024 20:18:00 GMT+0200 (Central European Summer Time),3628973.85
Wed May 22 2024 20:19:00 GMT+0200 (Central European Summer Time),400895.3
Wed May 22 2024 20:20:00 GMT+0200 (Central European Summer Time),1844877.5666666667
Wed May 22 2024 20:21:00 GMT+0200 (Central European Summer Time),4718189.033333333
Wed May 22 2024 20:22:00 GMT+0200 (Central European Summer Time),3618979.8333333335
Wed May 22 2024 20:23:00 GMT+0200 (Central European Summer Time),400878.8
Wed May 22 2024 20:24:00 GMT+0200 (Central European Summer Time),1278212
Wed May 22 2024 20:25:00 GMT+0200 (Central European Summer Time),4349325.55
Wed May 22 2024 20:26:00 GMT+0200 (Central European Summer Time),6463348.566666666
Wed May 22 2024 20:27:00 GMT+0200 (Central European Summer Time),3559347.066666667
Wed May 22 2024 20:28:00 GMT+0200 (Central European Summer Time),418500.35
Wed May 22 2024 20:29:00 GMT+0200 (Central European Summer Time),3107274.683333333
Wed May 22 2024 20:30:00 GMT+0200 (Central European Summer Time),6896816.833333333
Wed May 22 2024 20:31:00 GMT+0200 (Central European Summer Time),5110716.633333334
Wed May 22 2024 20:32:00 GMT+0200 (Central European Summer Time),1492591.3666666667
Wed May 22 2024 20:33:00 GMT+0200 (Central European Summer Time),718.7666666666667
Wed May 22 2024 20:34:00 GMT+0200 (Central European Summer Time),740.5833333333334
Wed May 22 2024 20:35:00 GMT+0200 (Central European Summer Time),3910.866666666667
Wed May 22 2024 20:36:00 GMT+0200 (Central European Summer Time),5189.233333333334
Wed May 22 2024 20:37:00 GMT+0200 (Central European Summer Time),719.1666666666666
Wed May 22 2024 20:38:00 GMT+0200 (Central European Summer Time),724.9166666666666
Wed May 22 2024 20:39:00 GMT+0200 (Central European Summer Time),725.6166666666667
Wed May 22 2024 20:40:00 GMT+0200 (Central European Summer Time),721.35
Wed May 22 2024 20:41:00 GMT+0200 (Central European Summer Time),572.5
Wed May 22 2024 20:42:00 GMT+0200 (Central European Summer Time),518.9166666666666
Wed May 22 2024 20:43:00 GMT+0200 (Central European Summer Time),724.8833333333333
