TimeSeries ID,instance/network/received_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.metric.type="compute.googleapis.com/instance/network/received_bytes_count" resource.type="gce_instance" resource.labels."instance_id"="1345602841643241709" resource.labels."zone"="europe-central2-c" AND resource.labels."project_id"="ddls-owen-gombas".60s.project_id:ddls-owen-gombas.instance_name:instance-20240520-173618
instance_name,instance-20240520-173618
project_id,ddls-owen-gombas
Wed May 22 2024 15:41:00 GMT+0200 (Central European Summer Time),889.6333333333333
Wed May 22 2024 15:42:00 GMT+0200 (Central European Summer Time),1167.6
Wed May 22 2024 15:43:00 GMT+0200 (Central European Summer Time),112897.66666666667
Wed May 22 2024 15:44:00 GMT+0200 (Central European Summer Time),1379261.7166666666
Wed May 22 2024 15:45:00 GMT+0200 (Central European Summer Time),4383628.716666667
Wed May 22 2024 15:46:00 GMT+0200 (Central European Summer Time),4005326.25
Wed May 22 2024 15:47:00 GMT+0200 (Central European Summer Time),4029725.566666667
Wed May 22 2024 15:48:00 GMT+0200 (Central European Summer Time),4213258.65
Wed May 22 2024 15:49:00 GMT+0200 (Central European Summer Time),4013267.4
Wed May 22 2024 15:50:00 GMT+0200 (Central European Summer Time),4065103.85
Wed May 22 2024 15:51:00 GMT+0200 (Central European Summer Time),4207467.516666667
Wed May 22 2024 15:52:00 GMT+0200 (Central European Summer Time),3962490.3
Wed May 22 2024 15:53:00 GMT+0200 (Central European Summer Time),3931620.9
Wed May 22 2024 15:54:00 GMT+0200 (Central European Summer Time),3574071.45
Wed May 22 2024 15:55:00 GMT+0200 (Central European Summer Time),3650312.85
Wed May 22 2024 15:56:00 GMT+0200 (Central European Summer Time),3922807.9166666665
Wed May 22 2024 15:57:00 GMT+0200 (Central European Summer Time),3704568.45
Wed May 22 2024 15:58:00 GMT+0200 (Central European Summer Time),3914434.35
Wed May 22 2024 15:59:00 GMT+0200 (Central European Summer Time),3658112.8833333333
Wed May 22 2024 16:00:00 GMT+0200 (Central European Summer Time),4009869.15
Wed May 22 2024 16:01:00 GMT+0200 (Central European Summer Time),3870639.45
Wed May 22 2024 16:02:00 GMT+0200 (Central European Summer Time),3726276.15
Wed May 22 2024 16:03:00 GMT+0200 (Central European Summer Time),3918118.3
Wed May 22 2024 16:04:00 GMT+0200 (Central European Summer Time),3669152.3833333333
Wed May 22 2024 16:05:00 GMT+0200 (Central European Summer Time),3931124.45
Wed May 22 2024 16:06:00 GMT+0200 (Central European Summer Time),3600333.8
Wed May 22 2024 16:07:00 GMT+0200 (Central European Summer Time),3706096.05
Wed May 22 2024 16:08:00 GMT+0200 (Central European Summer Time),3912509.6666666665
Wed May 22 2024 16:09:00 GMT+0200 (Central European Summer Time),3723976.783333333
Wed May 22 2024 16:10:00 GMT+0200 (Central European Summer Time),4448529.616666666
Wed May 22 2024 16:11:00 GMT+0200 (Central European Summer Time),4769124.716666667
Wed May 22 2024 16:12:00 GMT+0200 (Central European Summer Time),3687726.95
Wed May 22 2024 16:13:00 GMT+0200 (Central European Summer Time),3928248.7
Wed May 22 2024 16:14:00 GMT+0200 (Central European Summer Time),3570711.533333333
Wed May 22 2024 16:15:00 GMT+0200 (Central European Summer Time),3625861.3833333333
Wed May 22 2024 16:16:00 GMT+0200 (Central European Summer Time),3970585.9
Wed May 22 2024 16:17:00 GMT+0200 (Central European Summer Time),4370198.316666666
Wed May 22 2024 16:18:00 GMT+0200 (Central European Summer Time),4374835.683333334
Wed May 22 2024 16:19:00 GMT+0200 (Central European Summer Time),3698613
Wed May 22 2024 16:20:00 GMT+0200 (Central European Summer Time),4315714.466666667
Wed May 22 2024 16:21:00 GMT+0200 (Central European Summer Time),3899168
Wed May 22 2024 16:22:00 GMT+0200 (Central European Summer Time),3623000.85
Wed May 22 2024 16:23:00 GMT+0200 (Central European Summer Time),3816103.466666667
Wed May 22 2024 16:24:00 GMT+0200 (Central European Summer Time),4500654
Wed May 22 2024 16:25:00 GMT+0200 (Central European Summer Time),3989471.25
Wed May 22 2024 16:26:00 GMT+0200 (Central European Summer Time),3982011.966666667
Wed May 22 2024 16:27:00 GMT+0200 (Central European Summer Time),4319812.9
Wed May 22 2024 16:28:00 GMT+0200 (Central European Summer Time),4194667.7
Wed May 22 2024 16:29:00 GMT+0200 (Central European Summer Time),4536345.166666667
Wed May 22 2024 16:30:00 GMT+0200 (Central European Summer Time),3388658
Wed May 22 2024 16:31:00 GMT+0200 (Central European Summer Time),3667226.6666666665
Wed May 22 2024 16:32:00 GMT+0200 (Central European Summer Time),3918160
Wed May 22 2024 16:33:00 GMT+0200 (Central European Summer Time),3769787.966666667
Wed May 22 2024 16:34:00 GMT+0200 (Central European Summer Time),4624495.533333333
Wed May 22 2024 16:35:00 GMT+0200 (Central European Summer Time),4205925.533333333
Wed May 22 2024 16:36:00 GMT+0200 (Central European Summer Time),3368610.65
Wed May 22 2024 16:37:00 GMT+0200 (Central European Summer Time),3964418.1166666667
Wed May 22 2024 16:38:00 GMT+0200 (Central European Summer Time),3452265.0833333335
