TimeSeries ID,value_with_defaults_aggregate remote_type=VMs Different Region (outside europe-west4),value_with_defaults_aggregate remote_type=External (or VMs Different Project),value_with_defaults_aggregate remote_type=Google Services
remote_type,VMs Different Region (outside europe-west4),External (or VMs Different Project),Google Services
Wed May 22 2024 13:20:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:21:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:22:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:23:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:24:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:25:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:26:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:27:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:28:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:29:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:30:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:31:00 GMT+0200 (Central European Summer Time),0,0,0
Wed May 22 2024 13:32:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.3333333333333333
Wed May 22 2024 13:33:00 GMT+0200 (Central European Summer Time),0,0,0.03333333333333333
Wed May 22 2024 13:34:00 GMT+0200 (Central European Summer Time),0,0,0.3
Wed May 22 2024 13:35:00 GMT+0200 (Central European Summer Time),0,0,0.16666666666666666
Wed May 22 2024 13:36:00 GMT+0200 (Central European Summer Time),0,0,0.03333333333333333
Wed May 22 2024 13:37:00 GMT+0200 (Central European Summer Time),0,0,0.16666666666666666
Wed May 22 2024 13:38:00 GMT+0200 (Central European Summer Time),0,0,0.21666666666666667
Wed May 22 2024 13:39:00 GMT+0200 (Central European Summer Time),0,0.03333333333333333,0.016666666666666666
Wed May 22 2024 13:40:00 GMT+0200 (Central European Summer Time),0,0.016666666666666666,0.1
Wed May 22 2024 13:41:00 GMT+0200 (Central European Summer Time),0,0,0.2
Wed May 22 2024 13:42:00 GMT+0200 (Central European Summer Time),0,0,0.2
Wed May 22 2024 13:43:00 GMT+0200 (Central European Summer Time),0,0,0.05
Wed May 22 2024 13:44:00 GMT+0200 (Central European Summer Time),0,0,0.11666666666666667
Wed May 22 2024 13:45:00 GMT+0200 (Central European Summer Time),0,0,0.06666666666666667
Wed May 22 2024 13:46:00 GMT+0200 (Central European Summer Time),0,0,0.08333333333333333
Wed May 22 2024 13:47:00 GMT+0200 (Central European Summer Time),0,0,0.16666666666666666
Wed May 22 2024 13:48:00 GMT+0200 (Central European Summer Time),0,0,0.05
Wed May 22 2024 13:49:00 GMT+0200 (Central European Summer Time),0,0,0.06666666666666667
Wed May 22 2024 13:50:00 GMT+0200 (Central European Summer Time),0,0,0.08333333333333333
Wed May 22 2024 13:51:00 GMT+0200 (Central European Summer Time),0,0,0.08333333333333333
Wed May 22 2024 13:52:00 GMT+0200 (Central European Summer Time),0,0.13333333333333333,0.05
Wed May 22 2024 13:53:00 GMT+0200 (Central European Summer Time),0,0.19999999999999998,0.06666666666666667
Wed May 22 2024 13:54:00 GMT+0200 (Central European Summer Time),0,0.15,0.08333333333333333
Wed May 22 2024 13:55:00 GMT+0200 (Central European Summer Time),0,0.03333333333333333,0.21666666666666667
Wed May 22 2024 13:56:00 GMT+0200 (Central European Summer Time),1.1333333333333333,0.016666666666666666,0.05
